departamento,codigodanedepartamento,municipio,codigodanemunicipio,tipoarea,sitio,ano,mes,rangoedad,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación,Actividad
ANTIOQUIA,5,GRANADA,5313,Rural,Sin informacin,2006,1,Mayor de 18 aos,No,Civil,Hombre,Herido,6.143703,-75.185183,Sin informacion,6143703 75185183,Pasando estando cerca
CAQUETA,18,MONTAITA,18410,Rural,Sin informacin,2009,12,Mayor de 18 aos,No,Civil,Hombre,Herido,1.49494421255,-75.4630895064,Sin informacion,149494421255 754630895064,Erradicador manual  PCI
PUTUMAYO,86,PUERTO ASS,86568,Rural,Sin informacin,2008,4,Mayor de 18 aos,No,Civil,Hombre,Muerto,0.502569,-76.49818,Sin informacion,0502569 7649818,Erradicador manual  PCI
CORDOBA,23,PUERTO LIBERTADOR,23580,Rural,Sin informacin,2009,11,Mayor de 18 aos,No,Civil,Hombre,Herido,7.883545,-75.670508,Sin informacion,7883545 75670508,Erradicador manual  PCI
CORDOBA,23,PUERTO LIBERTADOR,23580,Rural,Sin informacin,2009,11,Mayor de 18 aos,No,Civil,Hombre,Herido,7.883545,-75.670508,Sin informacion,7883545 75670508,Erradicador manual  PCI
CORDOBA,23,PUERTO LIBERTADOR,23580,Rural,Sin informacin,2009,11,Mayor de 18 aos,No,Civil,Hombre,Herido,7.883545,-75.670508,Sin informacion,7883545 75670508,Erradicador manual  PCI
CORDOBA,23,PUERTO LIBERTADOR,23580,Rural,Sin informacin,2009,11,Mayor de 18 aos,No,Civil,Hombre,Herido,7.883545,-75.670508,Sin informacion,7883545 75670508,Erradicador manual  PCI
NARIO,52,BARBACOAS,52079,Rural,Vereda Santa Lucia,2010,1,Mayor de 18 aos,No,Fuerza pblica,Hombre,Herido,1.5875,-78.2275,Sin informacion,15875 782275,Fuerza pblica
ANTIOQUIA,5,TARAZ,5790,Rural,Quebrada Iraca,2010,1,Mayor de 18 aos,No,Fuerza pblica,Hombre,Herido,7.372777777777777,-75.20444444444445,Sin informacion,7372777777777777 7520444444444445,Fuerza pblica
ANTIOQUIA,5,VALDIVIA,5854,Rural,Sin informacin,2008,3,Mayor de 18 aos,No,Civil,Hombre,Herido,7.165222,-75.438081,Sin informacion,7165222 75438081,Erradicador manual  PCI
CAUCA,19,TORIBO,19821,Rural,Vereda Vichiqui,2009,8,Menor de 18 aos,Indigena,Civil,Hombre,Muerto,2.955399,-76.268615,En cerca a edificio residencial,2955399 76268615,Sin Informacin
ANTIOQUIA,5,VALDIVIA,5854,Rural,Sin informacin,2008,3,Mayor de 18 aos,No,Civil,Hombre,Herido,7.165222,-75.438081,Sin informacion,7165222 75438081,Erradicador manual  PCI
CAUCA,19,TORIBO,19821,Rural,Vereda Vichiqui,2009,8,Menor de 18 aos,Indigena,Civil,Hombre,Herido,2.955399,-76.268615,En cerca a edificio residencial,2955399 76268615,Sin Informacin
NARIO,52,SANTA CRUZ,52699,Rural,Sin informacin,2009,7,Mayor de 18 aos,No,Civil,Mujer,Herido,1.225,-77.68,Sin informacion,1225 7768,Sin Informacin
ANTIOQUIA,5,VALDIVIA,5854,Urbana,Sin informacin,2009,4,Mayor de 18 aos,No,Civil,Hombre,Herido,7.274352,-75.382426,Sin informacion,7274352 75382426,Erradicador manual  PCI
ANTIOQUIA,5,VALDIVIA,5854,Rural,Sin informacin,2008,3,Mayor de 18 aos,No,Civil,Hombre,Herido,7.165222,-75.438081,Sin informacion,7165222 75438081,Erradicador manual  PCI
NARIO,52,RICAURTE,52612,Rural,Sin informacin,2009,12,Mayor de 18 aos,Indigena,Civil,Mujer,Muerto,1.212529,-77.995412,Sin informacion,1212529 77995412,Transito por via usual
GUAVIARE,95,EL RETORNO,95025,Rural,Tomachipan,2009,10,Mayor de 18 aos,No,Civil,Hombre,Herido,2.255,-71.7891666666667,Sin informacion,2255 717891666666667,Erradicador manual  PCI
GUAVIARE,95,EL RETORNO,95025,Rural,Tomachipan,2009,10,Mayor de 18 aos,No,Civil,Hombre,Herido,2.255,-71.7891666666667,Sin informacion,2255 717891666666667,Erradicador manual  PCI
META,50,SAN JUAN DE ARAMA,50683,Rural,Sin informacin,2009,12,Mayor de 18 aos,No,Civil,Hombre,Herido,3.380464,-73.878772,Sin informacion,3380464 73878772,Cuidado de animales
NORTE DE SANTANDER,54,TIB,54810,Rural,Sin informacin,2009,9,Mayor de 18 aos,No,Civil,Hombre,Herido,8.639326,-72.735541,Sin informacion,8639326 72735541,Erradicador manual  PCI
NORTE DE SANTANDER,54,TIB,54810,Rural,Sin informacin,2009,9,Mayor de 18 aos,No,Civil,Hombre,Herido,8.639326,-72.735541,Sin informacion,8639326 72735541,Erradicador manual  PCI
NORTE DE SANTANDER,54,TIB,54810,Rural,Sin informacin,2009,9,Mayor de 18 aos,No,Civil,Hombre,Herido,8.639326,-72.735541,Sin informacion,8639326 72735541,Erradicador manual  PCI
NORTE DE SANTANDER,54,TIB,54810,Rural,Sin informacin,2009,9,Mayor de 18 aos,No,Civil,Hombre,Herido,8.639326,-72.735541,Sin informacion,8639326 72735541,Erradicador manual  PCI
NORTE DE SANTANDER,54,TIB,54810,Rural,Sin informacin,2009,9,Mayor de 18 aos,No,Civil,Hombre,Muerto,8.639326,-72.735541,Sin informacion,8639326 72735541,Erradicador manual  PCI
NORTE DE SANTANDER,54,TIB,54810,Rural,Sin informacin,2009,9,Mayor de 18 aos,No,Civil,Hombre,Herido,8.639326,-72.735541,Sin informacion,8639326 72735541,Erradicador manual  PCI
NORTE DE SANTANDER,54,TIB,54810,Rural,Sin informacin,2009,9,Mayor de 18 aos,No,Civil,Hombre,Muerto,8.639326,-72.735541,Sin informacion,8639326 72735541,Erradicador manual  PCI
NORTE DE SANTANDER,54,TIB,54810,Rural,Sin informacin,2009,9,Mayor de 18 aos,No,Civil,Hombre,Herido,8.639326,-72.735541,Sin informacion,8639326 72735541,Erradicador manual  PCI
BOLIVAR,13,SAN PABLO,13670,Rural,Sin informacin,2009,8,Mayor de 18 aos,No,Civil,Hombre,Herido,7.483919,-73.933361,Sin informacion,7483919 73933361,Erradicador manual  PCI
BOLIVAR,13,SAN PABLO,13670,Rural,Sin informacin,2009,8,Mayor de 18 aos,No,Civil,Hombre,Herido,7.483919,-73.933361,Sin informacion,7483919 73933361,Erradicador manual  PCI
CAQUETA,18,MONTAITA,18410,Rural,Sin informacin,2009,10,Mayor de 18 aos,No,Civil,Hombre,Herido,1.49494421255,-75.4630895064,Sin informacion,149494421255 754630895064,Erradicador manual  PCI
PUTUMAYO,86,SAN MIGUEL,86757,Rural,Sin informacin,2008,9,Mayor de 18 aos,No,Civil,Hombre,Herido,0.343179,-76.911852,Sin informacion,0343179 76911852,Erradicador manual  PCI
ANTIOQUIA,5,TARAZ,5790,Rural,Sin informacin,2009,7,Mayor de 18 aos,No,Civil,Hombre,Herido,7.58831222222222,-75.4028944444444,Sin informacion,758831222222222 754028944444444,Erradicador manual  PCI
ANTIOQUIA,5,TARAZ,5790,Rural,Sin informacin,2009,7,Mayor de 18 aos,No,Civil,Hombre,Herido,7.58831222222222,-75.4028944444444,Sin informacion,758831222222222 754028944444444,Erradicador manual  PCI
